Status ,Find companies,Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL,Solar Developer True Or_False,Contains Relevant Keywords,Link Of_Page,Utility_Check,Residential Mention,Find warm intros to company,Connection Strength Normalized,Connector Overlap,Internal Connector Owner,Name of Person Connected,Linkedin Url of Connector,Work Email,Connector Current Company Name,Connector Current Title,Find Contacts at Company,Find people at company,Find people at company (SMB),Find people,Find people at company (2),Custom Waterfall,Send table data,Referral Request,Details 
,,BlueHub Capital,"BlueHub Capital is a mission-driven, nonprofit community development finance organization focused on building healthy communities where low-income people live and work. We use innovative financial tools and deploy capital to support projects that make communities more vibrant places to live. BlueHub has four distinct programs: BlueHub Loan Fund (community development financing), BlueHub SUN (foreclosure relief), BlueHub Energy (clean energy access) and One Percent for America (citizenship financing). Since our founding in 1985, BlueHub has invested over $2.4 billion (and leveraged over $12 billion) to finance:

- Affordable housing, school facilities, child and youth development programs, community-based health centers, grocery stores, and community gathering places
- Removing financial barriers to US citizenship
- Clean energy enhancements that expand access to solar and other renewable sources for people with low incomes
- Mortgage lending for families facing foreclosure

Reducing economic inequality is at the heart of why BlueHub exists and why we do the work we do. Our investments focus on economically and racially marginalized communities that have been systematically denied access to capital.",Non-profit Organizations,11-50 employees,Non Profit,"Boston, Massachusetts",United States,bluehubcapital.org,https://www.linkedin.com/company/bluehubcapital,TRUE,TRUE,https://bluehubcapital.org,FALSE,TRUE,❌ No relationships found,,,,,,,,,Found 1 People,,,,,,✅ Sent,,
,,BlueSky Utility - Powered by Nofar Energy,BlueSky Utility is a leading distributed-generation solar and energy storage developer and independent power producer (IPP). We collaborate with landlords to optimize the value of their asset portfolios and drive down energy expenses through innovative solar and storage solutions.,Renewable Energy Semiconductor Manufacturing,51-200 employees,Privately Held,"Novato, California",United States,blueskyutility.com,https://www.linkedin.com/company/blue-sky-utility,TRUE,TRUE,https://blueskyutility.com/tenants,FALSE,TRUE,❌ No relationships found,,,,,,,,,Found 2 People,,,,,,✅ Sent 2 rows,,
,,BLUETTI,"Established in 2013, BLUETTI stands as a leading provider of cutting-edge solar solutions. We specialize in making all-in-one solar power systems accessible to everyone living at home or going off the grid. Our offerings include easy-to-install, affordable, and efficient solar products, complemented by end-to-end services ranging from consultation to installation and ongoing support. At BLUETTI, we are committed to enhancing our world through the creation of an exceptional green experience. With a vision to illuminate millions of African households, BLUETTI is actively engaged in leveraging the LAAF program to address energy limitations and empower communities through clean and reliable power solutions. Together, let's make a difference by spreading warmth and hope to those in need.",Renewable Energy Equipment Manufacturing,"1,001-5,000 employees",Self Owned,California,United States,bluettipower.com,https://www.linkedin.com/company/bluetti,TRUE,TRUE,https://community.bluettipower.com,FALSE,TRUE,❌ No relationships found,,,,,,,,,,,,,,,,,
,,Bone Dry Roofing,"In business since 1989, Bone Dry Roofing's office in Indianapolis is the headquarters of our business, which includes 11 total offices across five states. Our company has been family owned and operated since the day it opened - we are not a franchise! We have built our reputation over the years one customer at a time, and this is the way we’ve grown from a small company to one of the largest residential roofing companies in the Midwest.

Our mission is to ensure peace of mind for each customer through exceptional service. It’s that simple! All of our technicians are fully trained and certified to carry out work needed, and our employees will always treat you with respect and a friendly attitude. We also offer 24/7 emergency service, so don't hesitate to call. We look forward to assisting with all of your residential/commercial roofing and repairs, masonry, gutters, and interior and exterior needs in the following areas;

Indianapolis, IN
Lafayette, IN
Evansville, IN
Louisville, KY
Lexington, KY
Cincinnati, OH
Columbus, OH
Dayton, OH
St. Louis, MO
Nashville, TN
Fort Wayne, IN

Bone Dry Roofing also has sister companies in Fort Collins, CO and Sarasota, FL.",Construction,51-200 employees,Privately Held,"Indianapolis, Indiana",United States,bonedry.com,https://www.linkedin.com/company/bone-dry-roofing1,TRUE,TRUE,https://bonedry.com/dayton/community-involvement/,FALSE,TRUE,❌ No relationships found,,,,,,,,,Found 7 People,,,,,,✅ Sent 7 rows,,
,,Bonsai Energy Group,"Bonsai Energy Group (BEG) is a Consulting Firm specializing in third-party Solar PV Quality Assurance and Owners’ Engineering services. Services include oversight, project due diligence, design review, schedule verification, project construction management, strategic planning and initiatives, and best practices.

Since 2004, BEG has utilized decades of industry best practices and combined it with 50 Years+ of Solar PV Industry knowledge for engineering and project construction management excellence.",Renewable Energy Power Generation,2-10 employees,Privately Held,"New York, CA",United States,bonsaienergygroup.com,https://www.linkedin.com/company/bonsaisolar,TRUE,TRUE,https://bonsaienergygroup.com,FALSE,TRUE,❌ No relationships found,,,,,,,,,❌ No Profile Found,✅ Found 2 people,,,,,✅ Sent 0 rows,,
,,Boston Solar,"Boston Solar is the #1 residential solar company based in Massachusetts, with more than 6,500 installations in 14 years. We are proud to power Massachusetts, a state that continues to lead the nation in solar installations. We provide superior products, exceptional customer service, and the highest quality workmanship. Now we also offer a Production Guarantee on your residential solar system. 

Boston Solar is dedicated to helping customers save money while improving the environment and supporting our local community.  Every member of our team is focused on delivering the best experience for every customer.  Are you ready to join your neighbors as they take part in the national drive toward energy independence? Learn more about why Boston Solar is the best choice for your home or business.  Solar.  Savings.  Made Simple!",Services for Renewable Energy,51-200 employees,Partnership,"Woburn, Massachusetts",United States,bostonsolar.us,https://www.linkedin.com/company/boston-solar,TRUE,TRUE,https://bostonsolar.us,FALSE,TRUE,❌ No relationships found,,,,,,,,,Found 1 People,,,,,,✅ Sent,,
,,"Briggs Electric, Inc.","Briggs Electric has been the trusted partner for general contractors since 1946 in California and 1996 in Nevada. Built on a foundation of strong communication and reliable delivery, we’ve grown alongside the industries we serve. Today, we bring the horsepower, expertise, and innovation to solve complex challenges and drive projects forward. From healthcare to data centers, our legacy is defined by projects done right the first time.",Construction,"501-1,000 employees",Privately Held,"Tustin, CA",United States,briggselectric.com,https://www.linkedin.com/company/briggselectric,TRUE,TRUE,https://briggselectric.com/project_category/commercial,FALSE,TRUE,❌ No relationships found,,,,,,,,,Found 5 People,,,,,,✅ Sent 5 rows,,
,,"Bright Future Solar Energy, Inc.","At Bright Future Solar Energy, we take pride in the work we do.  We are engineers, local to the Central Coast and have over 20 years experience in energy systems design, installation and servicing.  We are innovative, creative and have a unique ability to solve energy challenges.  Most importantly, we are honest, trusted and genuinely care about servicing each of our customers to the best of our abilities.",Renewable Energy Semiconductor Manufacturing,11-50 employees,Privately Held,"Salinas, California",United States,brightfuturesolarenergy.com,https://www.linkedin.com/company/bright-future-solar-energy-inc-,TRUE,TRUE,https://brightfuturesolarenergy.com/commercial,FALSE,TRUE,❌ No relationships found,,,,,,,,,❌ No Profile Found,✅ Found 10 people,,,,,✅ Sent 0 rows,,
,,Bright Home Energy,"At Bright Home Energy we are committed to providing our clients with exceptional home-energy  solutions that allow them to cut their energy consumption, save money,  and increase the value of their home. What differentiates Bright Home Energy from our  competitors is our whole-home approach. Not only do we provide a  comprehensive Solar solution, but we also extend our services to include  Smart Thermostats, Aeroseal, Insulation, and Demand Management Systems.  Our far reaching expertise and services make us the premiere energy  solution company in Arizona.",Renewables & Environment,11-50 employees,Privately Held,"Tempe, Arizona",United States,brighthomeenergy.com,https://www.linkedin.com/company/govoltsolar,TRUE,TRUE,https://brighthomeenergy.com/about/,FALSE,TRUE,,,,,,,,,,,,,,,,,,
,,Bright Start,"We help homeowners in the USA save thousands, gain energy independence, and protect the planet with solar energy. Founded by Andrew Herrmann, we offer custom, data-driven solutions to meet your energy needs. Visit BrightStartSolar.com",Services for Renewable Energy,51-200 employees,Privately Held,"Springfield, IL",United States,brightstartsolar.com,https://www.linkedin.com/company/brightstartsolar,TRUE,TRUE,https://brightstartsolar.com,FALSE,TRUE,❌ No relationships found,,,,,,,,,,,,,,,,,
,,Brightstar Solar,"Brightstar Solar is Massachusetts’s leading solar installation company. Our professionally trained service team and competitive and cost-effective packages, combined with one-of-a-kind product and service offerings, make us the premier energy partner for meeting your residential and commercial solar power needs. We serve the residential and small sectors.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Marlborough, MA",United States,brightstarsolar.net,https://www.linkedin.com/company/brightstar-solar,TRUE,TRUE,https://brightstarsolar.net/solar-installation-in-hopkinton-ma/,FALSE,TRUE,❌ No relationships found,,,,,,,,,,,,,,,,,
,,BriteStreet Energy Group,The best installers and electricians around. For anything solar you’d be in good hands with us.,Solar Electric Power Generation,51-200 employees,Privately Held,"Denver, Colorado",United States,britestreetsolar.com,https://www.linkedin.com/company/britestreet-energy-group,TRUE,TRUE,https://www.britestreetsolar.com,FALSE,TRUE,❌ No relationships found,,,,,,,,,❌ No Profile Found,❌ No people found,✅ 1 decision maker found,,,,✅ Sent 0 rows,,
,,BriteStreet Solar,"**BriteStreet Solar | Leading Solar Panel Installation Denver & Colorado Front Range**

Are you searching for a reputable solar energy company who actually live and work in your community? Look no further. BriteStreet Solar has been the trusted choice for solar panel installation that Denver residents and businesses have relied on since 2012.

As one of the best solar companies Denver offers, we're proud to be locally owned and operated, serving everything from residential solar panels that Denver homeowners love, to large-scale commercial solar installation that Denver businesses depend on. Our team covers the entire Front Range from Fort Collins to Colorado Springs.

**What Sets Us Apart:**
 One of only 3 Tesla-certified solar installers in Colorado
 NABCEP-certified employees (not subcontractors) 
 1,000+ successful solar installations completed
 Consistent on-time, quality installations
 Local ownership with deep Colorado roots

Unlike national solar energy companies Colorado has seen come and go, we're here for the long haul. When you choose solar energy solutions from BriteStreet Solar, you're partnering with solar panel installers that Denver trusts to honor warranties and provide ongoing support.

From solar installations Colorado homeowners need to commercial solar energy systems, we make going solar simple, affordable, and stress-free.

Ready to join the solar revolution? Let's power your property with clean, renewable energy! 

#SolarEnergy #DenverBusiness #ColoradoSolar #RenewableEnergy #SolarInstallation",Solar Electric Power Generation,51-200 employees,Privately Held,"Centennial, Colorado",United States,britestreet.com,https://www.linkedin.com/company/britestreet-solar,TRUE,TRUE,https://britestreet.com/category/company-culture-and-community,FALSE,TRUE,,,,,,,,,,❌ No Profile Found,✅ Found 10 people,,,,,✅ Sent 0 rows,,
,,Bryton Power,We are a residential solar installation company. We pride ourselves on delivering the best solar experience for everyone involved.,Renewable Energy Power Generation,201-500 employees,Privately Held,"Lindon, Utah",United States,brytonpower.com,https://www.linkedin.com/company/bryton-power,TRUE,TRUE,https://www.brytonpower.com/post/portable-solar-panels-top-choices-for-outdoor-enthusiasts-in-2024,FALSE,TRUE,❌ No relationships found,,,,,,,,,,,,,,,,,
,,"BSW Roofing, Solar & Air","BSW is a family owned business with over 80 year experience with a real focus on customer satisfaction. You can rely on us for your next roofing or solar installation. Please request a free quote and one of our Bakersfield roofing contractors will contact you to arrange a meeting.

Mission Statement:

Our mission is to serve our customers and always deliver the highest level of professionalism which makes our customer happy.

Our Core Values: 

We believe in Teamwork through Trust and Respect Each Other. Enthusiastic Communication with Clients.",Construction,51-200 employees,Privately Held,"Bakersfield, California",United States,bswroofing.com,https://www.linkedin.com/company/bsw-roofing,TRUE,TRUE,https://bswroofing.com/commercial-roofing-repairs-replacements-for-large-scale-facilities,FALSE,TRUE,❌ No relationships found,,,,,,,,,,,,,,,,,
,,Build Native LLC,Custom home builder specializing in green building techniques since 2007.,Construction,2-10 employees,Privately Held,"Austin, TX",United States,buildnative.com,https://www.linkedin.com/company/build-native,TRUE,TRUE,https://buildnative.com/pace/,FALSE,TRUE,❌ No relationships found,,,,,,,,,,,,,,,,,
,,Bullet Energy Solutions,"Powering the Future with Solar & EV Charging

At Bullet Energy Solutions, we empower homes and businesses to take control of their energy with reliable solar, battery storage, and EV charging solutions. As a trusted partner in renewable energy, we offer end-to-end services—from consultation and design to professional installation—ensuring seamless integration for a more sustainable and cost-efficient future.

Our company is built on innovation, reliability, and expertise, providing:

 Bullet EV Charging Solutions 
Turnkey EV charging installations for commercial properties, multi-family residences, workplaces, and fleet operations, ensuring seamless integration of electric vehicle infrastructure.

 Bullet Solar Solutions 
Expert residential and commercial solar panel installations, battery storage systems, and energy management solutions—helping homeowners and businesses lower costs, achieve energy independence, and stay powered during outages.

With a steadfast commitment to quality, innovation, and customer service, we deliver comprehensive energy solutions that help our clients future-proof their energy needs.

Power your home. Charge your business. Own your energy.

 Serving Texas, California, and beyond.
 Learn more: www.bullet-energy.com",Services for Renewable Energy,51-200 employees,Privately Held,"Austin, Texas",United States,bullet-energy.com,https://www.linkedin.com/company/bullet-energy,TRUE,TRUE,https://bullet-energy.com,FALSE,TRUE,❌ No relationships found,,,,,,,,,❌ No Profile Found,✅ Found 10 people,,,,,✅ Sent 0 rows,,
,,Bullet Solar Solutions,"Bullet Solar Solutions specializes in residential and commercial solar panel installations, energy storage systems, and EV charger installations. We install top-quality QCELLS and Hyundai solar panels, paired with advanced storage solutions as Tesla Powerwall, Anker Solix, and Enphase certified installers. Our energy solutions ensure greater efficiency, independence, and protection against grid outages. We also provide customized EV charger installations to support the growing demand for electric vehicles, offering reliable, sustainable energy solutions for homes and businesses alike.",Services for Renewable Energy,11-50 employees,Partnership,"Houston, Texas",United States,bulletsolar.com,https://www.linkedin.com/company/bullet-energy-solutions,TRUE,TRUE,https://bulletsolar.com/,FALSE,TRUE,❌ No relationships found,,,,,,,,,,,,,,,,,
,,Burns & Scalo Roofing,"The Burns & Scalo partnership began over five decades ago in 1956, when John T. Scalo and Richard ""Duke"" Burns shared a common vision: to be the very best at whatever they did. Beginning as a two-man residential roofing company, Burns & Scalo quickly grew into a successful operation in the Pittsburgh region.

The company has experienced consistent growth and was nationally recognized in 2015 as the top commercial roofing contractor in the nation, employing over 250 people regionally. Burns & Scalo is headquartered in Pittsburgh, Pennsylvania and serves the entire Mid-Atlantic / Eastern seaboard region with a branch office strategically located in Columbus Ohio. 

The company celebrated its 65th year in business in 2021 and welcomed the third generation into the business. Burns & Scalo operates together with 7 distinct and strategic additional Scalo-owned companies.",Construction,201-500 employees,Self Owned,"Pittsburgh, PA",United States,burns-scalo.com,https://www.linkedin.com/company/burns-&-scalo-roofing,TRUE,TRUE,http://burns-scalo.com,FALSE,TRUE,❌ No relationships found,,,,,,,,,Found 1 People,,,,,,✅ Sent,,
,,BVI Solar,"BVI Solar is a commercial electrical, roofing, and solar contractor based in San Diego and servicing the entire state of California. We specialize in renewable projects ranging from 50 kW - 2.5 MW including rooftop, carports, and ground mount installations. BVI Solar can also provide turn-key micro-grid solutions including electrical infrastructure upgrades, BESS, and EV charging stations. 

When you work with BVI Solar, you’re in good hands. BVI Solar has been built by a team of seasoned industry veterans with a proven track record of success.",Services for Renewable Energy,11-50 employees,Privately Held,"San Diego, California",United States,bvisolar.com,https://www.linkedin.com/company/bvisolar,TRUE,TRUE,http://bvisolar.com/solar-faq,FALSE,TRUE,❌ No relationships found,,,,,,,,,❌ No Profile Found,✅ Found 10 people,,,,,✅ Sent 0 rows,,
,,California Solar Electric Cooperative,"CALIFORNIA SOLAR ELECTRIC COMPANY is a renewables & environment company based out of Grass Valley, California",Renewable Energy Semiconductor Manufacturing,11-50 employees,Partnership,"Grass Valley, California",United States,cal-solar.coop,https://www.linkedin.com/company/california-solar-electric-company,TRUE,TRUE,https://cal-solar.coop,FALSE,TRUE,❌ No relationships found,,,,,,,,,❌ No Profile Found,✅ Found 10 people,,,,,✅ Sent 0 rows,,
,,Camsan Inc. Electrical Contractors,"Camsan Inc. Electrical Contractors is a third-generation Electrical Contracting service provider located in Stamford, CT. With a dedicated team of over 100 employees, Camsan has the privilege of partnering with leading general contractors to supply electrical service and products on major commercial construction projects in CT and NY. As a family owned local business, we maintain a deep sense of loyalty to our community, through residential and service customers that have supported the Camsan brand for decades. We offer solutions on small service installations, remodels, renovations, scheduled service calls, generator installs, and emergency calls.",Construction,51-200 employees,Privately Held,"Stamford, Connecticut",United States,camsaninc.com,https://www.linkedin.com/company/camsan-electric,TRUE,TRUE,http://camsaninc.com/community-giving-back,FALSE,TRUE,❌ No relationships found,,,,,,,,,❌ No Profile Found,✅ Found 10 people,,,,,✅ Sent 0 rows,,
,,Cannon Solar,"Cannon Solar is not merely a company; it's a movement towards a brighter, greener future. Our commitment to quality, sustainability, and customer-centricity has earned us a reputation for excellence. We are a full-service EPC with a 100% internal installation department. Outsourcing installers causes a lack of control with timely project completion commitments and uniform high-quality standards.... Not at Cannon Solar. Each installation, every satisfied customer, and the positive impact we make on the environment fuels our passion to continue driving change.",Solar Electric Power Generation,11-50 employees,Privately Held,"Atlanta, Georgia",United States,cannonsolar.com,https://www.linkedin.com/company/cannon-solar,TRUE,TRUE,https://cannonsolar.com,FALSE,TRUE,❌ No relationships found,,,,,,,,,,,,,,,,,
,,"Cape Fear Solar Systems, LLC","Cape Fear Solar Systems, LLC, a Wilmington, NC based solar expert offers a wide range of solar panels for solar water heating (solar thermal), photovoltaic (PV, solar electric) and solar pool heating for both residential and commercial applications. Extensive experience in solar installations and being an Elite Dealer for the most efficient solar panel on Earth, SunPower, make Cape Fear Solar Systems the local leader in turnkey solar solutions. Cape Fear Solar Systems is a NABCEP Certified Solar Installer, a mark indicating achievement of the highest available certification standard in the solar world.",Renewables & Environment,11-50 employees,Privately Held,"Wilmington, North Carolina",United States,capefearsolarsystems.com,https://www.linkedin.com/company/cape-fear-solar-systems-llc,TRUE,TRUE,http://capefearsolarsystems.com,FALSE,TRUE,❌ No relationships found,,,,,,,,,❌ No Profile Found,✅ Found 10 people,,,,,✅ Sent 0 rows,,
,,Capital City Solar,Locally owned and operated. The highest quality and most affordable solar Installations in Northern California!  We provide solar energy with the highest quality products  and most affordable solar installations. Easy on the environment and better for you!,Environmental Services,11-50 employees,Privately Held,"Roseville, CA",United States,capitalcitysolar.com,https://www.linkedin.com/company/capital-city-solar,TRUE,TRUE,https://capitalcitysolar.com/solar-services/commercial,FALSE,TRUE,❌ No relationships found,,,,,,,,,,,,,,,,,
,,Captain Power,"Captain Power is a Delaware originated solar and electrical contracting company licensed in numerous states in the north-east. Established in 2022 by Steven Stahl a Master electrician who has been in the electrical industry for 20 years spent the past 10 years installing approximately 50 MW of residential and commercial solar systems. Our team is comprised of master electricians and crews who specialize in commercial and residential EPC, system maintenance and commissioning, EV charging, electrical engineering and design, permitting, pre-development reports, and high-quality solar construction, management and consulting.",Services for Renewable Energy,11-50 employees,Privately Held,"Beltsville, Maryland",United States,captainpowerllc.com,https://www.linkedin.com/company/captain-power,TRUE,TRUE,http://captainpowerllc.com,FALSE,TRUE,❌ No relationships found,,,,,,,,,❌ No Profile Found,✅ Found 9 people,,,,,✅ Sent 0 rows,,
,,Carbon Solutions Group,"Carbon Solutions Group was founded in Chicago, Illinois, in 2006. CSG consists of 3 principal groups: SREC Aggregation, DirtRoad (EV Charging Development), and ESG Services. CSG prides itself on corporate and municipal partnerships across the U.S. that it has fostered during 17 years of operation.",Renewable Energy Semiconductor Manufacturing,11-50 employees,Privately Held,"Chicago, IL",United States,carbonsolutionsgroup.com,https://www.linkedin.com/company/carbon-solutions-group,TRUE,TRUE,https://carbonsolutionsgroup.com/solar/commercial,FALSE,TRUE,,,,,,,,,,Found 5 People,,,,,,✅ Sent 5 rows,,
,,Catamount Solar,"Catamount Solar is a local, Vermont-based, member-owned worker’s cooperative specializing in affordable, high-quality solar power system design and solar installation services.  We provide our residential and business customers in Vermont and New Hampshire with a full range of electric hot water and heating system options designed to meet their unique needs .

There’s never been a better time to consider adding solar power to your home, farm or business. Historic low prices for equipment plus very favorable state and federal incentives make moving to solar power a very feasible solution to ever-increasing utility power rates.

Find out more about heating your domestic hot water and your home with new electric heat pump technology which can have half the cost of conventional propane and oil heating systems. Contact us for more information.",Renewable Energy Semiconductor Manufacturing,11-50 employees,Partnership,"Randolph, VT",United States,catamountsolar.com,https://www.linkedin.com/company/catamount-solar,TRUE,TRUE,https://catamountsolar.com,FALSE,TRUE,❌ No relationships found,,,,,,,,,❌ No Profile Found,✅ Found 9 people,,,,,✅ Sent 0 rows,,
,,Central Georgia EMC,Central Georgia Electric Membership Corporation (CGEMC) is a not-for-profit consumer-owned electric distribution system.,Utilities,51-200 employees,Non Profit,jackson,United States,cgemc.com,https://www.linkedin.com/company/central-georgia-emc,TRUE,TRUE,https://cgemc.com,FALSE,TRUE,❌ No relationships found,,,,,,,,,❌ No Profile Found,✅ Found 10 people,,,,,✅ Sent 0 rows,,
,,"Centurion Solar Energy, LLC","Centurion Solar Energy, LLC was founded in Stamford, CT by a group of investors and an Electrical Engineer. 

We market, design, install and service Photvolataic solar systems for residences, businesses and municipal Customers. 

Present in the US and Latin America.

Our sales professionals and engineering teams are highly trained and qualified, providing quality installs and total Customer satisfaction.  Our CTO is a second generation Master E1 electrician.",Renewable Energy Semiconductor Manufacturing,11-50 employees,Privately Held,"Stamford, CT",United States,centurionsolar.com,https://www.linkedin.com/company/centurion-solar-energy,TRUE,TRUE,https://centurionsolar.com/solar-installs,FALSE,TRUE,❌ No relationships found,,,,,,,,,,,,,,,,,
,,Cenvar Roofing & Solar,"At Cenvar Roofing & Solar, we're experts in residential and commercial roofing, offering services in roof replacements, repairs, and solar installations. With branches across Virginia, including Abingdon, Charlottesville, Farmville, Harrisonburg, Lynchburg, Wytheville, Richmond, and Roanoke, we aim to surpass customer expectations in quality and affordability.

Our commitment is clear: outstanding customer service. We achieve this through effective communication, punctuality, and precise installations following manufacturer specifications. We take pride in leaving no property damage, emphasizing a thorough cleanup process that ensures a neat and professional job, leaving our customers fully satisfied.",Construction,51-200 employees,Privately Held,"Lynchburg, va",United States,cenvarroofing.com,https://www.linkedin.com/company/cenvar-roofing-and-solar,TRUE,TRUE,https://www.cenvarroofing.com/,FALSE,TRUE,❌ No relationships found,,,,,,,,,Found 1 People,,,,,,✅ Sent,,
,,Chamberlains Aqua & Energy Systems Limited (CAESL),"Chamberlains Aqua & Energy Systems Limited (CAESL) is a UK-based cleantech company developing patented technologies and tailored consultancy services that accelerate the transition to Net Zero.

Our flagship invention, TASHEX, is an AI-powered solar panel add-on that improves energy output by up to 30%. Designed for retrofitting and new installations, TASHEX combines intelligent cooling, real-time optimisation, and monitoring—boosting efficiency and extending panel lifespan. Following successful pilots in the UK, UAE, and Singapore, we are now scaling across Europe, MENA, and Southeast Asia.

In parallel, our consultancy division offers bespoke Route to Net Zero planning, enhanced EPC_Plus assessments, and strategic decarbonisation support for schools, businesses, and local authorities.

We work with industry partners, academic institutions, and public sector bodies to advance sustainable innovation. With several patent-protected technologies in our pipeline, CAESL remains committed to driving impactful, practical solutions at the intersection of clean energy, water, and smart systems.",Climate Technology Product Manufacturing,2-10 employees,Privately Held,"Southampton, Hampshire",United States,caesl.co.uk,https://www.linkedin.com/company/caesl,TRUE,TRUE,http://caesl.co.uk,FALSE,TRUE,❌ No relationships found,,,,,,,,,,,,,,,,,
,,Charge Bliss,"Charge Bliss is focused on renewable energy projects and energy management. Technologies implemented include solar PV, advanced battery storage, energy demand management, electric vehicle charging stations, fuel cells, and microgrid integration. We are a progressive company helping pave the way for renewable energy in commercial, industrial, hospital, and government markets. Charge Bliss is an EPC (Engineering, Procurement, & Construction) provider and a licensed general contractor.",Renewable Energy Semiconductor Manufacturing,11-50 employees,Privately Held,"Los Angeles, California",United States,chargebliss.com,https://www.linkedin.com/company/charge-bliss,TRUE,TRUE,https://chargebliss.com,FALSE,TRUE,❌ No relationships found,,,,,,,,,❌ No Profile Found,✅ Found 4 people,,,,,✅ Sent 0 rows,,
,,ChargeNet Stations,"With over 31,000 fast food restaurants in California alone and only 4% of the EV charging infrastructure we’re going to need by 2040, we’ve structured ourselves to use modular solutions to scale rapidly.  Our world-class diversified team with direct domain experience transforms QSR parking lots from cost centers to profit centers while enabling underserved communities to seamlessly extract maximum value from mobility electrification. We have commercial traction on several fronts with revenue and a solid pipeline for rapid growth.",Renewables & Environment,11-50 employees,Privately Held,"San Diego, California",United States,chargenetstations.com,https://www.linkedin.com/company/chargenet-stations,TRUE,TRUE,https://chargenetstations.com/contact-us/,FALSE,TRUE,❌ No relationships found,,,,,,,,,Found 1 People,,,,,,✅ Sent,,
,,"Chico Electric, Inc.","We deliver high-performance electrical and solar energy projects that generate energy and increase efficiency across operations. We are the leader in electrical design-build contracting services as well as the planning, engineering, and installation of photovoltaic (PV) solar, storage, and combined heat and power (CHP) systems.",Construction,51-200 employees,Privately Held,"Chico, CA",United States,chicoelectric.com,https://www.linkedin.com/company/chico-electric-inc.,TRUE,TRUE,http://chicoelectric.com,FALSE,TRUE,,,,,,,,,,,✅ Found 10 people,,,,,,,
,,Cinnamon Energy Systems,"SOLAR, STORAGE and ELECTRIFICATION MADE EASY!
We’re a full-service solar, energy storage and electrification contractor with a heritage of over 14,000 happy customers since 2001. We’ll get your residential or commercial project done quickly and efficiently. Local building departments know us — we’ve been providing training to building inspectors in Silicon Valley since 2003. Our friendly work crews are employees (not outside contractors) and strive for your 100% satisfaction. 

TOP SOLAR PANEL BRANDS
We offer high quality solar panels to meet your needs. All solar panel systems come with a leading equipment and output guarantee.

HOME SOLAR BATTERY BACKUP SYSTEMS
Installing a Home Battery Backup System saves you money on electrical rates and provides backup power in the event of a blackout or Public Safety Power Shutoff. 

HEAT PUMPS FOR HVAC AND WATER HEATING
Homeowners are making the switch from fossil fuel home appliances to electrical appliances run by solar and battery storage solutions. 
 
COMMERCIAL ENERGY STORAGE SYSTEMS
Look to Cinnamon Energy Systems for an “intelligent” commercial energy storage system that allows commercial building owners and operators to take control of their energy bills. The storage system carries a 10-year peak demand reduction guarantee that compensates for any deficit in promised peak demand reductions, and system costs can typically be recovered in 3-5 years. Available financing alternatives provide immediate cash flow positive benefits.",Renewable Energy Semiconductor Manufacturing,51-200 employees,Privately Held,"Los Gatos, CA",United States,cinnamon.energy,https://www.linkedin.com/company/cinnamon-energy,TRUE,TRUE,https://cinnamon.energy/,FALSE,TRUE,❌ No relationships found,,,,,,,,,❌ No Profile Found,✅ Found 10 people,,,,,✅ Sent 0 rows,,
,,Circle L Solar,"Circle L Solar is a Texas-based, solar and energy efficiency company that services  Dallas/Fort Worth, Houston, San Antonio, and Austin, TX. We are proud to offer quality products and services that are in line with the highest industry standards to meet all of your residential and commercial needs.",Renewable Energy Semiconductor Manufacturing,51-200 employees,Privately Held,"Fort Worth, Texas",United States,circlelsolar.com,https://www.linkedin.com/company/circle-l-solar,TRUE,TRUE,https://circlelsolar.com/commercial.html,FALSE,TRUE,❌ No relationships found,,,,,,,,,,,,,,,,,
,,Citadel Roofing & Solar,"Citadel Roofing & Solar is California’s installer of choice for all your roofing, solar panel, and battery/energy storage needs.  With 30+ years of experience in roofing, solar, and energy storage, our team members have installed roofs, batteries, and solar systems up and down California, earning the respect of homeowners, businesses and homebuilders alike. We are proud of our outstanding reputation and look forward to working with you on your next project.",Construction,201-500 employees,Privately Held,"Vacaville, CA",United States,citadelrs.com,https://www.linkedin.com/company/citadel-roofing-and-solar,TRUE,TRUE,https://citadelrs.com/about-us/community-involvement,FALSE,TRUE,❌ No relationships found,,,,,,,,,Found 3 People,,,,,,✅ Sent 3 rows,,
,,City First Enterprises (CFE),"City First Enterprises is a certified CDFI (Community Development Financial Institution) specializing in flexible lending for affordable housing, commercial real estate, small businesses, non-profits, and clean energy projects. With a mission to create equitable financial solutions to support people and communities in achieving their economic aspirations, we envision a future where all people and communities transform their futures through equitable access to capital.",Financial Services,11-50 employees,Non Profit,"Washington, DC",United States,cfenterprises.org,https://www.linkedin.com/company/city-first-enterprises,TRUE,TRUE,https://cfenterprises.org/overview-lend/small-business-nonprofit,FALSE,TRUE,❌ No relationships found,,,,,,,,,Found 4 People,,,,,,✅ Sent 4 rows,,
